comparison,family,region,bin,n,base_mean,other_mean,delta,ci_lo,ci_hi,effect_size,p_raw,q_pooled,q_perrq
RQ2 (size-conditioned text),RQ2,ET,small,21,0.009954052583732463,0.00786964624538721,-0.0020844063383452533,-0.003558278673694477,-0.0008310912396203327,-0.6277056277056277,0.010125160217285156,0.013526581227779388,0.015187740325927734
RQ2 (size-conditioned text),RQ2,ET,medium,23,0.03742924981534332,0.03777641162374965,0.00034716180840633354,-0.00898827832878187,0.013719813855680312,-0.2898550724637681,0.23447084426879883,0.2570161177561834,0.23447084426879883
RQ2 (size-conditioned text),RQ2,ET,large,23,0.14884564587032542,0.19126425448896683,0.04241860861864141,0.02448063475301003,0.06342544210825002,0.8985507246376812,2.6226043701171875e-05,5.130553513430477e-05,5.900859832763672e-05
RQ2 (size-conditioned text),RQ2,TC,small,27,0.019182928141719627,0.026888112561011913,0.007705184419292285,0.005144363138359099,0.010511151217062776,0.9788359788359788,1.043081283569336e-07,1.2740492820739746e-06,9.387731552124023e-07
RQ2 (size-conditioned text),RQ2,TC,medium,23,0.05895893056056275,0.09500307493259753,0.036044144372034785,0.02134514971060442,0.053327006989964,0.9927536231884058,4.76837158203125e-07,2.1457672119140625e-06,1.430511474609375e-06
RQ2 (size-conditioned text),RQ2,TC,large,23,0.1755513767356842,0.25217629813355913,0.07662492139787494,0.058411938766004735,0.09813520571016851,1.0,2.384185791015625e-07,1.2740492820739746e-06,1.0728836059570312e-06
RQ2 (size-conditioned text),RQ2,WT,small,32,0.05682907016139984,0.05937866000401622,0.0025495898426163774,0.0001720227787711553,0.004810545413278704,0.49193548387096775,0.01681269277126942,0.021455003461843813,0.021616319277346398
RQ2 (size-conditioned text),RQ2,WT,medium,21,0.13671154759037568,0.1465829295021171,0.009871381911741417,-0.0009689663489479833,0.021225153881418605,0.48917748917748916,0.05019187927246094,0.05878637914788233,0.056465864181518555
RQ2 (size-conditioned text),RQ2,WT,large,20,0.2808702663321127,0.3214895187243128,0.0406192523922001,0.016976312128718966,0.06670997704572684,0.7047619047619048,0.0042209625244140625,0.005965161914667807,0.007597732543945313
RQ3 (multi-scale ensemble),RQ3,ET,small,21,0.009954052583732463,0.008879334048907063,-0.0010747185348253998,-0.0025913612804096364,0.00026281387298827003,-0.20346320346320346,0.4319114685058594,0.4531095773895825,0.4319114685058594
RQ3 (multi-scale ensemble),RQ3,ET,medium,23,0.03742924981534332,0.026169648898248746,-0.011259600917094572,-0.0166702073135728,-0.0063586169187177305,-0.8405797101449275,0.0001277923583984375,0.00021216012899158068,0.0002177556355794271
RQ3 (multi-scale ensemble),RQ3,ET,large,23,0.14884564587032542,0.11893194731275272,-0.0299136985575727,-0.05186381680856641,-0.010146457129236381,-0.5652173913043478,0.016311168670654297,0.020971502576555525,0.019837907842687658
RQ3 (multi-scale ensemble),RQ3,TC,small,27,0.019182928141719627,0.019316968352702562,0.00013404021098293445,-0.002827760034561185,0.0027771297765855265,0.19047619047619047,0.39974282681941986,0.421950761642721,0.40882789106531575
RQ3 (multi-scale ensemble),RQ3,TC,medium,23,0.05895893056056275,0.05004705593014793,-0.008911874630414818,-0.018211152577767398,-0.0005158791774439463,-0.37681159420289856,0.11864614486694336,0.13425958156585693,0.1241645702095919
RQ3 (multi-scale ensemble),RQ3,TC,large,23,0.1755513767356842,0.1347211702382292,-0.040830206497455,-0.06675747538623648,-0.015053814442880396,-0.5797101449275363,0.013528585433959961,0.01765945121532178,0.01691073179244995
RQ3 (multi-scale ensemble),RQ3,WT,small,32,0.05682907016139984,0.06405710560085334,0.007228035439453502,0.0011328352954922054,0.013217824854773498,0.4318181818181818,0.03248823946341872,0.03996754639024893,0.038472915154048486
RQ3 (multi-scale ensemble),RQ3,WT,medium,21,0.13671154759037568,0.09883805815109953,-0.03787348943927615,-0.05450610370555806,-0.019818905436048934,-0.7662337662337663,0.0011758804321289062,0.0017484830773395043,0.0017069232079290576
RQ3 (multi-scale ensemble),RQ3,WT,large,20,0.2808702663321127,0.19875852149919038,-0.08211174483292233,-0.12660708255673883,-0.03616060363342963,-0.6761904761904762,0.006389617919921875,0.008883127352086509,0.008713115345348011
RQ3b (16^3 window),RQ3,ET,small,21,0.009954052583732463,0.011054205875517685,0.0011001532917852223,-7.249432464224989e-05,0.002223146204948735,0.5151515151515151,0.038437843322753906,0.046287825409795195,0.043242573738098145
RQ3b (16^3 window),RQ3,ET,medium,23,0.03742924981534332,0.03931280650418303,0.001883556688839709,-0.0035748105008897705,0.0060899581040622305,0.4927536231884058,0.03838014602661133,0.046287825409795195,0.043242573738098145
RQ3b (16^3 window),RQ3,ET,large,23,0.14884564587032542,0.16018128951233745,0.011335643642012033,-0.0005283848081354439,0.02338302517377466,0.47101449275362317,0.04844093322753906,0.05712689366833917,0.051900999886648994
RQ3b (16^3 window),RQ3,TC,small,27,0.019182928141719627,0.02298325803296381,0.003800329891244184,0.002254634112628434,0.005421363696257208,0.8571428571428571,1.8790364265441895e-05,3.966854678259956e-05,4.227831959724426e-05
RQ3b (16^3 window),RQ3,TC,medium,23,0.05895893056056275,0.06883202594953781,0.009873095388975066,0.006136564260649223,0.013534193077451248,0.9057971014492754,2.09808349609375e-05,4.2710985456194195e-05,4.495893205915178e-05
RQ3b (16^3 window),RQ3,TC,large,23,0.1755513767356842,0.19821274160543914,0.022661364869754952,0.00917338573066255,0.03544615942530162,0.6811594202898551,0.003070831298828125,0.004412707160500919,0.004318356513977051
RQ3b (16^3 window),RQ3,WT,small,32,0.05682907016139984,0.07191406420122365,0.015084994039823808,0.011889154542008578,0.018451209169712324,1.0,4.656612873077393e-10,1.137544001851763e-08,5.238689482212067e-09
RQ3b (16^3 window),RQ3,WT,medium,21,0.13671154759037568,0.15546864558603532,0.01875709799565964,0.012059417523189085,0.02558378349518671,0.9047619047619048,5.245208740234375e-05,9.541815899788064e-05,0.00010262364926545517
RQ3b (16^3 window),RQ3,WT,large,20,0.2808702663321127,0.34310300444158115,0.062232738109468444,0.04572407485005636,0.07918452314082153,0.9904761904761905,3.814697265625e-06,9.883533824573863e-06,1.1444091796875e-05
RQ3c (12^3 window),RQ3,ET,small,21,0.009954052583732463,0.01155033386410338,0.0015962812803709172,0.000454752616081421,0.0027876875244794816,0.6190476190476191,0.011346817016601562,0.014925428537222056,0.014588764735630581
RQ3c (12^3 window),RQ3,ET,medium,23,0.03742924981534332,0.04023909647929387,0.002809846663950552,-0.00304343573615531,0.007224743548466758,0.6159420289855072,0.008262157440185547,0.01130263137817383,0.010935208376716165
RQ3c (12^3 window),RQ3,ET,large,23,0.14884564587032542,0.16138867401427232,0.012543028143946894,0.0014426533110767023,0.023676333495281022,0.4855072463768116,0.04152512550354004,0.049655919308429,0.04557635725998297
RQ3c (12^3 window),RQ3,TC,small,27,0.019182928141719627,0.023472645249444243,0.004289717107724616,0.0026342142711238735,0.006089974643554087,0.8941798941798942,5.5283308029174805e-06,1.3504922389984132e-05,1.5548430383205414e-05
RQ3c (12^3 window),RQ3,TC,medium,23,0.05895893056056275,0.0717462465743112,0.012787316013748447,0.008585836528371651,0.016955769196762126,0.9130434782608695,1.6689300537109375e-05,3.612494166893295e-05,3.952729074578536e-05
RQ3c (12^3 window),RQ3,TC,large,23,0.1755513767356842,0.20800771089255962,0.03245633415687543,0.01842058280934922,0.0466012787470435,0.8115942028985508,0.00025343894958496094,0.0003939823670820756,0.0003932673355628704
RQ3c (12^3 window),RQ3,WT,small,32,0.05682907016139984,0.07339876950239993,0.01656969934100009,0.012674714950903688,0.020846841019451945,1.0,4.656612873077393e-10,1.137544001851763e-08,5.238689482212067e-09
RQ3c (12^3 window),RQ3,WT,medium,21,0.13671154759037568,0.16182626364111716,0.025114716050741476,0.017571861958386645,0.03298007307912208,0.948051948051948,1.33514404296875e-05,2.9650601473721593e-05,3.337860107421875e-05
RQ3c (12^3 window),RQ3,WT,large,20,0.2808702663321127,0.36024698264670807,0.07937671631459536,0.05723332157186204,0.1012798064348568,0.9714285714285714,9.5367431640625e-06,2.1743774414062497e-05,2.524432014016544e-05
RQ3c (8^3 window),RQ3,ET,small,21,0.009954052583732463,0.013251149467249293,0.0032970968835168302,0.0016244080341267912,0.004946834343264654,0.8095238095238095,0.0005102157592773438,0.0007789901324680873,0.0007653236389160156
RQ3c (8^3 window),RQ3,ET,medium,23,0.03742924981534332,0.048872714460127,0.011443464644783678,0.005567050405012882,0.01679100664691966,0.8405797101449275,0.0001277923583984375,0.00021216012899158068,0.0002177556355794271
