patient_id,region,size_bin,dice,iou
BraTS20_Training_117,ET,medium,0.03352999591097366,0.017050855513306717
BraTS20_Training_270,ET,large,0.19462161440563389,0.10780101055744093
BraTS20_Training_160,ET,large,0.1636887474151161,0.08913997950222197
BraTS20_Training_332,ET,small,0.004124739370863742,0.0020666318442985002
BraTS20_Training_161,ET,medium,0.03456971734790148,0.017588879978614167
BraTS20_Training_168,ET,large,0.21862858906654284,0.12273049164518654
BraTS20_Training_207,ET,medium,0.0662113829243631,0.03423920398522718
BraTS20_Training_093,ET,medium,0.09117652031309988,0.04776582082281141
BraTS20_Training_075,ET,large,0.1138182861880829,0.06034322427930845
BraTS20_Training_350,ET,large,0.11172463546940774,0.059167554461624534
BraTS20_Training_029,ET,small,0.023738246018036487,0.012011691250010972
BraTS20_Training_083,ET,small,0.028659327894290036,0.014537988435898931
BraTS20_Training_119,ET,small,0.013780183841622048,0.0069378946527050645
BraTS20_Training_348,ET,large,0.0966331918093606,0.05076961066754186
BraTS20_Training_055,ET,small,0.025129457743036956,0.012724610148024174
BraTS20_Training_225,ET,large,0.3889884294098132,0.2414560121795457
BraTS20_Training_103,ET,large,0.08612877432128381,0.04500238739455418
BraTS20_Training_243,ET,medium,0.04428937986399483,0.022646182624357192
BraTS20_Training_352,ET,medium,0.021181646402048025,0.010704189378239224
BraTS20_Training_094,ET,small,0.003553982402750843,0.0017801545202950745
BraTS20_Training_254,ET,large,0.1540766053059558,0.08346858041283642
BraTS20_Training_138,ET,large,0.19164933263995151,0.10598018188570364
BraTS20_Training_027,ET,medium,0.06808518069027546,0.035242330567453475
BraTS20_Training_357,ET,medium,0.05286265308661255,0.027148908201268244
BraTS20_Training_079,ET,small,0.0023846428997255768,0.0011937447773665041
BraTS20_Training_302,ET,small,0.007052216564808788,0.0035385857188155075
BraTS20_Training_196,ET,large,0.17654312323931304,0.09681782195635812
BraTS20_Training_070,ET,medium,0.03394375163839015,0.017264893446805898
BraTS20_Training_165,ET,large,0.156030465155217,0.08461661768633881
BraTS20_Training_288,ET,medium,0.0470604115791899,0.024097218295033893
